name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
Hughes-Stanton Blair,M,1902–1981,1902,1981,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/blair-hughes-stanton-1323
Hughes-Stanton Sir Herbert,M,1870–1937,1870,1937,"Chelsea, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/sir-herbert-hughes-stanton-1324
Hugo Valentine,F,1887–1968,1887,1968,"London, United Kingdom","Paris, France",http://www.tate.org.uk/art/artists/valentine-hugo-8146
Hugonin James,M,born 1950,1950,1995,"Barnard Castle, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/james-hugonin-2605
Hulbert Thelma,F,1913–1995,1913,1995,"Bath, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/thelma-hulbert-2391
Hulusi Mustafa,M,born 1971,1971,1810,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/mustafa-hulusi-14367
Hume Gary,M,born 1962,1962,1810,"Kent, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/gary-hume-2403
Humphry Ozias,M,1742–1810,1742,1810,"Honiton, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/ozias-humphry-284
Huner Emre,M,born 1977,1977,1896,"Istanbul, Türkiye",Unknown,http://www.tate.org.uk/art/artists/emre-huner-13685
Hunt Alfred William,M,1830–1896,1830,1896,"Liverpool, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/alfred-william-hunt-285
Hunt Kay,F,1933–2001,1933,2001,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/kay-hunt-3284
Hunt Walter,M,1861–1941,1861,1941,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/walter-hunt-1325
Hunt William Henry,M,1790–1864,1790,1864,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/william-henry-hunt-286
Hunt William Holman,M,1827–1910,1827,1910,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/william-holman-hunt-287
Hunter Colin,M,1841–1904,1841,1904,"Glasgow, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/colin-hunter-288
Hunter Leslie,M,1877–1931,1877,1931,"Rothesay, United Kingdom","Glasgow, United Kingdom",http://www.tate.org.uk/art/artists/leslie-hunter-1327
Hurlstone Frederick Yeates,M,1800–1869,1800,1869,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/frederick-yeates-hurlstone-289
Hurry Leslie,M,1909–1978,1909,1978,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/leslie-hurry-1328
Huskisson Robert,M,?1820–1861,1820,1861,"Nottinghamshire, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/robert-huskisson-290
Hussey Giles,M,1710–1788,1710,1788,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/giles-hussey-2431
Hutchinson Louise,F,1882–1968,1882,1968,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/louise-hutchinson-1329
Hutton Clarke,M,1898–1984,1898,1984,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/clarke-hutton-1330
Huws Bethan,F,born 1961,1961,1696,"Bangor, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/bethan-huws-9638
Huxley Paul,M,born 1938,1938,1696,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/paul-huxley-1331
Huyghe Pierre,M,born 1962,1962,1696,"Paris, France",Unknown,http://www.tate.org.uk/art/artists/pierre-huyghe-5463
Huysmans Jacob,M,c.1630–c.1696,1630,1696,"Antwerpen, België","London, United Kingdom",http://www.tate.org.uk/art/artists/jacob-huysmans-291
Ibbetson Julius Caesar,M,1759–1817,1759,1817,"Farnley, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/julius-caesar-ibbetson-292
Iglesias Cristina,F,born 1956,1956,1980,"San Sebastián, España",Unknown,http://www.tate.org.uk/art/artists/cristina-iglesias-8673
Illes Arpad,M,1908–1980,1908,1980,Magyarország,Budapest,http://www.tate.org.uk/art/artists/arpad-illes-1332
Immendorff Jörg,M,1945 –2007,1945,2007,"Bleckede, Deutschland","Düsseldorf, Deutschland",http://www.tate.org.uk/art/artists/jorg-immendorff-1333
Ince Evelyn,F,c.1886–1941,1886,1941,"Bhagalpur, Bharat","Hitchin, United Kingdom",http://www.tate.org.uk/art/artists/evelyn-ince-1334
Ince Joseph Murray,M,1806–1859,1806,1859,"Presteigne, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/joseph-murray-ince-2432
Inchbold John William,M,1830–1888,1830,1888,"Leeds, United Kingdom","Leeds, United Kingdom",http://www.tate.org.uk/art/artists/john-william-inchbold-293
Indiana Robert,M,born 1928,1928,1983,"New Castle, United States",Unknown,http://www.tate.org.uk/art/artists/robert-indiana-2382
Inlander Henry,M,1925–1983,1925,1983,"Wien, Österreich",Unknown,http://www.tate.org.uk/art/artists/henry-inlander-1335
Innes Callum,M,born 1962,1962,1914,"Edinburgh, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/callum-innes-2379
Innes James Dickson,M,1887–1914,1887,1914,"Llanelli, United Kingdom","Swanley, United Kingdom",http://www.tate.org.uk/art/artists/james-dickson-innes-1336
Inshaw David,M,born 1943,1943,1965,"Staffordshire, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/david-inshaw-1337
International Local (Sarah Charlesworth; Joseph Kosuth; Anthony McCall),M,"born 1945, born 1945, born 1946",1945,1965,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/international-local-sarah-charlesworth-joseph-kosuth-anthony-mccall-1338
Inventory,M,founded 1996,1996,1965,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/inventory-4561
Ipoustéguy Jean,M,born 1920,1920,1965,"Dun-sur-Meuse, France",Unknown,http://www.tate.org.uk/art/artists/jean-robert-ipousteguy-1339
Ireland Geoffrey,M,born 1923,1923,1965,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/geoffrey-ireland-1340
Ironside Robin,M,1912–1965,1912,1965,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/robin-ironside-1341
Irvin Albert,M,born 1922,1922,2008,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/albert-irvin-1342
Irvine Jaki,F,born 1966,1966,2008,"Dublin, Éire",Unknown,http://www.tate.org.uk/art/artists/jaki-irvine-10747
Irwin Gwyther,M,1931–2008,1931,2008,"Cornwall, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/gwyther-irwin-1343
Islam Runa,F,born 1970,1970,1699,Bangladesh,Unknown,http://www.tate.org.uk/art/artists/runa-islam-10089
Italian or German (?) School 17th century,M,1600–1699,1600,1699,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/italian-or-german-school-17th-century-2345
Ivanov Sergei,M,1885–1942,1885,1942,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/sergei-ivanov-5741
Ivekovic Sanja,F,born 1949,1949,1952,"Zagreb, Hrvatska",Unknown,http://www.tate.org.uk/art/artists/sanja-ivekovic-7504
Jaar Alfredo,M,born 1956,1956,1952,"Santiago, Chile",Unknown,http://www.tate.org.uk/art/artists/alfredo-jaar-8378
Jack Richard,M,1866–1952,1866,1952,"Sunderland, United Kingdom","Québec, Canada",http://www.tate.org.uk/art/artists/richard-jack-1344
Jacklin Bill,M,born 1943,1943,1974,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/bill-jacklin-1345
Jackson Alexander Young,M,1882–1974,1882,1974,"Montreal, Canada",Unknown,http://www.tate.org.uk/art/artists/alexander-young-jackson-1346
Jackson Arthur,M,1911–2003,1911,2003,"Rotherham, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/arthur-jackson-1347
Jackson F. Ernest,M,1872–1945,1872,1945,"Huddersfield, United Kingdom","Oxford, United Kingdom",http://www.tate.org.uk/art/artists/f-ernest-jackson-1348
Jackson Gilbert,M,active 1621–1642,1621,1642,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/gilbert-jackson-294
Jackson John,M,1778–1831,1778,1831,"North Yorkshire, United Kingdom","Saint John's Wood, United Kingdom",http://www.tate.org.uk/art/artists/john-jackson-295
Jackson Melanie,F,born 1968,1968,1904,"Midlands, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/melanie-jackson-11954
Jackson Samuel Phillips,M,1830–1904,1830,1904,"Bristol, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/samuel-phillips-jackson-2433
Jacobs Janice,F,born 1947,1947,1938,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/janice-jacobs-1349
Jacovleff Alexandre,M,1887–1938,1887,1938,"Sankt-Peterburg, Rossiya","Paris, France",http://www.tate.org.uk/art/artists/alexandre-jacovleff-1350
Jagger Charles Sargeant,M,1885–1934,1885,1934,"England, United Kingdom",London,http://www.tate.org.uk/art/artists/charles-sargeant-jagger-1351
James A. Gosset,M,1875–1950,1875,1950,"England, United Kingdom",Stow-on-the-Wold,http://www.tate.org.uk/art/artists/a-gosset-james-1352
Jamieson Alexander,M,1873–1937,1873,1937,"Glasgow, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/alexander-jamieson-1353
Janas Piotr,M,born 1970,1970,1996,"Warszawa, Polska",Unknown,http://www.tate.org.uk/art/artists/piotr-janas-14955
Janecek Ota,M,1919–1996,1919,1996,"Pardubice, Ceská Republika",Unknown,http://www.tate.org.uk/art/artists/ota-janecek-1354
Jankowski Christian,M,born 1968,1968,1995,"Göttingen, Deutschland",Unknown,http://www.tate.org.uk/art/artists/christian-jankowski-6880
Janowich Ron,M,born 1948,1948,1995,United States,Unknown,http://www.tate.org.uk/art/artists/ron-janowich-2235
Jansen Angela,F,born 1929,1929,1995,United States,Unknown,http://www.tate.org.uk/art/artists/angela-jansen-1355
Janssen Horst,M,1929–1995,1929,1995,"Hamburg, Deutschland","Oldenburg, Deutschland",http://www.tate.org.uk/art/artists/horst-janssen-2286
Jantjes Gavin,M,born 1948,1948,1973,"Cape Town, South Africa",Unknown,http://www.tate.org.uk/art/artists/gavin-jantjes-4779
Japp Darsie,M,1883–1973,1883,1973,"Liverpool, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/darsie-japp-1356
Jaray Tess,F,born 1937,1937,1994,"Wien, Österreich",Unknown,http://www.tate.org.uk/art/artists/tess-jaray-1357
Jarman Derek,M,1942–1994,1942,1994,"Kent, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/derek-jarman-2327
Jeanneret Pierre,M,1896–1967,1896,1967,"Genève, Schweiz","Genève, Schweiz",http://www.tate.org.uk/art/artists/pierre-jeanneret-16444
Jefferys James,M,c.1751–1784,1751,1784,"Maidstone, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/james-jefferys-2434
Jemec Andrej,M,born 1934,1934,2012,"Ljubljana, Slovenija",Unknown,http://www.tate.org.uk/art/artists/andrej-jemec-1358
Jenkins Paul,M,1923–2012,1923,2012,"Kansas City, United States","New York, United States",http://www.tate.org.uk/art/artists/paul-jenkins-1359
Jenney Neil,M,born 1945,1945,1950,"Torrington, United States",Unknown,http://www.tate.org.uk/art/artists/neil-jenney-2779
Jennings Humphrey,M,1907–1950,1907,1950,"Walberswick, United Kingdom",Ellás,http://www.tate.org.uk/art/artists/humphrey-jennings-1360
Jennings William George,M,1763–1854,1763,1854,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/william-george-jennings-296
Jensen Bill,M,born 1945,1945,2004,"Minneapolis, United States",Unknown,http://www.tate.org.uk/art/artists/bill-jensen-2275
Jensen Sergej,M,born 1973,1973,2004,Danmark,Unknown,http://www.tate.org.uk/art/artists/sergej-jensen-10804
Jesih Boris,M,born 1943,1943,2004,"Škofja Loka, Slovenija",Unknown,http://www.tate.org.uk/art/artists/boris-jesih-1361
Jess,M,1923–2004,1923,2004,"Long Beach, United States","San Francisco, United States",http://www.tate.org.uk/art/artists/jess-14318
John Augustus OM,M,1878–1961,1878,1961,"Tenby, United Kingdom","Fordingbridge, United Kingdom",http://www.tate.org.uk/art/artists/augustus-john-om-1362
John Gwen,F,1876–1939,1876,1939,"Haverfordwest, United Kingdom","Dieppe, France",http://www.tate.org.uk/art/artists/gwen-john-1363
John Sir William Goscombe,M,1860–1952,1860,1952,"Cardiff, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/sir-william-goscombe-john-1364
Johns Jasper,M,born 1930,1930,1913,"Augusta, United States",Unknown,http://www.tate.org.uk/art/artists/jasper-johns-1365
Johnson Ben,M,born 1946,1946,1913,"Llandudno, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/ben-johnson-1366
Johnson Charles Edward,M,1832–1913,1832,1913,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/charles-edward-johnson-298
Johnson Cornelius,M,1593–1661,1593,1661,"London, United Kingdom","Utrecht, Nederland",http://www.tate.org.uk/art/artists/cornelius-johnson-297
Johnson James,M,1803–1834,1803,1834,"Bristol, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/james-johnson-299
Johnson Ray,M,1927–1995,1927,1995,"Detroit, United States","Sag Harbor, United States",http://www.tate.org.uk/art/artists/ray-johnson-16660
Johnson Thomas,M,c.1628–1685,1628,1685,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/thomas-johnson-4721
Johnstone William,M,1897–1981,1897,1981,"Scottish Borders, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/william-johnstone-1367
Jonas Joan,F,born 1936,1936,1978,"New York, United States",Unknown,http://www.tate.org.uk/art/artists/joan-jonas-7726
Jones Allen,M,born 1937,1937,1978,"Southampton, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/allen-jones-1368
Jones Barbara,F,1912–1978,1912,1978,"Croydon, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/barbara-jones-1369
Jones David,M,1895–1974,1895,1974,"Kent, United Kingdom","Harrow, United Kingdom",http://www.tate.org.uk/art/artists/david-jones-1370
Jones Fred Cecil,M,1891–1956,1891,1956,"Bradford, United Kingdom","Pudsey, United Kingdom",http://www.tate.org.uk/art/artists/fred-cecil-jones-1371
Jones Gareth,M,born 1965,1965,1869,United Kingdom,Unknown,http://www.tate.org.uk/art/artists/gareth-jones-2776
Jones George,M,1786–1869,1786,1869,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/george-jones-300
Jones Harold,M,1904–1992,1904,1992,"Romford, United States",Unknown,http://www.tate.org.uk/art/artists/harold-jones-1372
Jones Sarah,F,born 1959,1959,1803,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/sarah-jones-2682
Jones Stanley,M,born 1933,1933,1803,"Wigan, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/stanley-jones-1373
Jones Thomas,M,1742–1803,1742,1803,"Powys, United Kingdom","Powys, United Kingdom",http://www.tate.org.uk/art/artists/thomas-jones-301
Jones William,M,active 1738–1749,1738,1749,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/william-jones-2221
Jones Zebedee,M,born 1970,1970,1998,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/zebedee-jones-11551
Jonzen Karin,F,1914–1998,1914,1998,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/karin-jonzen-1374
Joreige Lamia,F,born 1972,1972,1973,"Bayrut, Al-Lubnan",Unknown,http://www.tate.org.uk/art/artists/lamia-joreige-13897
Jorn Asger,M,1914–1973,1914,1973,"Jylland, Danmark","Århus, Danmark",http://www.tate.org.uk/art/artists/asger-jorn-1375
Joseph Lily D.,F,1863–1940,1863,1940,Bermondsey,"London, United Kingdom",http://www.tate.org.uk/art/artists/lily-d-joseph-1376
Joseph Peter,M,born 1929,1929,1850,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/peter-joseph-1377
Joseph Pierre,M,born 1965,1965,1850,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/pierre-joseph-11821
Joseph Samuel,M,c.1790–1850,1790,1850,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/samuel-joseph-302
Joy John,M,1806–1866,1806,1866,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/john-cantiloe-joy-10599
Joy William,M,1803–1867,1803,1867,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/william-joy-10598
Joyce Paul,M,born 1944,1944,1994,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/paul-joyce-12046
Judd Donald,M,1928–1994,1928,1994,"Excelsior Springs, United States","New York, United States",http://www.tate.org.uk/art/artists/donald-judd-1378
Julien Isaac,M,born 1960,1960,1935,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/isaac-julien-4019
Jungen Brian,M,born 1970,1970,1935,"Fort Saint John, Canada",Unknown,http://www.tate.org.uk/art/artists/brian-jungen-9484
Jungman Nico,M,1872–1935,1872,1935,"Amsterdam, Nederland","London, United Kingdom",http://www.tate.org.uk/art/artists/nico-jungman-1379
Just Jesper,M,born 1974,1974,1979,"København, Danmark",Unknown,http://www.tate.org.uk/art/artists/jesper-just-7637
Kadishman Menashe,M,born 1932,1932,1979,"Tel Aviv-Yafo, Yisra'el",Unknown,http://www.tate.org.uk/art/artists/menashe-kadishman-1380
Kahn Erich,M,1904–1979,1904,1979,"Stuttgart, Deutschland","London, United Kingdom",http://www.tate.org.uk/art/artists/erich-kahn-1381
Kaisermann Franz,M,1765–1833,1765,1833,"Yverdon, Schweiz","Roma, Italia",http://www.tate.org.uk/art/artists/franz-kaisermann-2621
Kandinsky Wassily,M,1866–1944,1866,1944,"Moskva, Rossiya","Neuilly-sur-Seine, France",http://www.tate.org.uk/art/artists/wassily-kandinsky-1382
Kane Alan,M,born 1961,1961,2009,"Nottingham, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/alan-kane-7631
Kanovitz Howard,M,1929 – 2009,1929,2009,"Fall River, United States",Unknown,http://www.tate.org.uk/art/artists/howard-kanovitz-1383
Kanwar Amar,M,born 1964,1964,2010,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/amar-kanwar-18243
Kapoor Anish,M,born 1954,1954,2010,"Bombay, Bharat",Unknown,http://www.tate.org.uk/art/artists/anish-kapoor-1384
Karamustafa Gulsun,F,born 1946,1946,2010,Türkiye,Unknown,http://www.tate.org.uk/art/artists/gulsun-karamustafa-15930
Karshan Linda,F,born 1947,1947,2010,"Minneapolis, United States",Unknown,http://www.tate.org.uk/art/artists/linda-karshan-2734
Katz Alex,M,born 1927,1927,2010,"Brooklyn, United States",Unknown,http://www.tate.org.uk/art/artists/alex-katz-1386
Kauffman Craig,M,1932–2010,1932,2010,"Los Angeles, United States","Angeles, Pilipinas",http://www.tate.org.uk/art/artists/craig-kauffman-1387
Kauffman Angelica,F,1741–1807,1741,1807,"Chur, Schweiz","Roma, Italia",http://www.tate.org.uk/art/artists/angelica-kauffman-303
Kaufmann Isidor,M,1854–1921,1854,1921,"Arad, România","Wien, Österreich",http://www.tate.org.uk/art/artists/isidor-kaufmann-1388
Kavanagh John F.,M,1903–1984,1903,1984,"Birr, Éire",Unknown,http://www.tate.org.uk/art/artists/john-f-kavanagh-1389
Kawara On,M,1933,1933,2012,Nihon,Unknown,http://www.tate.org.uk/art/artists/on-kawara-12834
Kay Emma,F,born 1961,1961,2012,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/emma-kay-2701
Keen Jeff,M,1923 – 2012,1923,2012,"Trowbridge, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/jeff-keen-16495
Keene Charles Samuel,M,1823–1891,1823,1891,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/charles-samuel-keene-304
Keeping Charles,M,1924–1988,1924,1988,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/charles-keeping-1390
Keirincx Alexander,M,1600–1652,1600,1652,"Antwerpen, België","Amsterdam, Nederland",http://www.tate.org.uk/art/artists/alexander-keirincx-305
Kelley Mike,M,1954–2012,1954,2012,"Detroit, United States","Los Angeles, United States",http://www.tate.org.uk/art/artists/mike-kelley-6782
Kelly Ellsworth,M,born 1923,1923,1994,"Newburgh, United States",Unknown,http://www.tate.org.uk/art/artists/ellsworth-kelly-1391
Kelly Felix,M,1916–1994,1916,1994,"Auckland, New Zealand","Devon, United Kingdom",http://www.tate.org.uk/art/artists/felix-kelly-1392
Kelly Francis,M,1927 – 2012,1927,2012,"Saint Paul, United States",Unknown,http://www.tate.org.uk/art/artists/francis-kelly-1393
Kelly Mary,F,born 1941,1941,1972,"Albert Lea, United States",Unknown,http://www.tate.org.uk/art/artists/mary-kelly-1395
Kelly Sir Gerald,M,1879–1972,1879,1972,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/sir-gerald-kelly-1394
Kelm Annette,F,born 1975,1975,1965,"Stuttgart, Deutschland",Unknown,http://www.tate.org.uk/art/artists/annette-kelm-9590
Kemeny Zoltan,M,1907–1965,1907,1965,"Transilvania, România","Zürich, Schweiz",http://www.tate.org.uk/art/artists/zoltan-kemeny-1396
Kemp-Welch Lucy,F,1869–1958,1869,1958,"Bournemouth, United Kingdom","Watford, United Kingdom",http://www.tate.org.uk/art/artists/lucy-kemp-welch-1397
Kennard Peter,M,born 1949,1949,1947,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/peter-kennard-10184
Kennet Lady,F,1878–1947,1878,1947,"Nottinghamshire, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/lady-kennet-kathleen-lady-scott-kathleen-hilton-young-1398
Kennington Eric,M,1888–1960,1888,1960,"Chelsea, United Kingdom","Reading, United Kingdom",http://www.tate.org.uk/art/artists/eric-kennington-1399
Kennington Thomas Benjamin,M,1856–1916,1856,1916,"Grimsby, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/thomas-benjamin-kennington-306
Kenny Michael,M,1941–1999,1941,1999,"Liverpool, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/michael-kenny-1400
Kentridge William,M,born 1955,1955,1907,"Johannesburg, South Africa",Unknown,http://www.tate.org.uk/art/artists/william-kentridge-2680
Kerr Charles Henry Malcolm,M,1858–1907,1858,1907,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/charles-henry-malcolm-kerr-307
Kerrich Thomas,M,1748–1828,1748,1828,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/thomas-kerrich-7945
Kerr-Lawson James,M,1865–1939,1865,1939,"Anstruther, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/james-kerr-lawson-1401
Kessell Mary,F,1914–1977,1914,1977,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/mary-kessell-1402
Kestelman Morris,M,1905–1998,1905,1998,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/morris-kestelman-1403
Kettle Tilly,M,1734 or 5–1786,1734,1786,"Exeter, United States",Suriyah,http://www.tate.org.uk/art/artists/tilly-kettle-308
Key Joan,F,born 1948,1948,2003,"Lancashire, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/joan-key-1404
Khakhar Bhupen,M,1934–2003,1934,2003,"Bombay, Bharat","Baroda, Bharat",http://www.tate.org.uk/art/artists/bhupen-khakhar-2406
Kher Bharti,F,born 1969,1969,1963,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/bharti-kher-14889
Kiaer Ian,M,born 1971,1971,1963,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/ian-kiaer-6589
Kibardin Georgii,M,1903–63,1903,1963,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/georgii-kibardin-5676
Kidner Michael,M,1917–2009,1917,2009,"Kettering, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/michael-kidner-1405
Kiefer Anselm,M,born 1945,1945,1994,"Donaueschingen, Deutschland",Unknown,http://www.tate.org.uk/art/artists/anselm-kiefer-1406
Kienholz Edward,M,1927–1994,1927,1994,"Fairfield, United States","Hope, United States",http://www.tate.org.uk/art/artists/edward-kienholz-3068
Kiff Ken,M,1935–2001,1935,2001,"Dagenham, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/ken-kiff-1407
Kilpper Thomas,M,born 1956,1956,1995,"Stuttgart, Deutschland",Unknown,http://www.tate.org.uk/art/artists/thomas-kilpper-2788
Kindersley David,M,1915–1995,1915,1995,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/david-kindersley-1408
King Cecil,M,1921–1986,1921,1986,"Rathdrum, Éire","Dublin, Éire",http://www.tate.org.uk/art/artists/cecil-king-1409
King Jeremy,M,born 1933,1933,1924,"Oundle, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/jeremy-king-1410
King John Henry Yeend,M,1855–1924,1855,1924,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/john-henry-yeend-king-309
King Phillip,M,born 1934,1934,1988,"Carthage, Tunis",Unknown,http://www.tate.org.uk/art/artists/phillip-king-1411
King Ronald,M,born 1932,1932,1988,"Great Britain, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/ronald-king-1412
King Scott,M,born 1969,1969,1988,"Goole, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/scott-king-2763
Kinley Peter,M,1926–1988,1926,1988,"Wien, Österreich",Unknown,http://www.tate.org.uk/art/artists/peter-kinley-1413
Kinnard W.,M,active 1807–1828,1807,1828,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/w-kinnard-2435
Kippenberger Martin,M,1953–1997,1953,1997,"Dortmund, Deutschland","Wien, Österreich",http://www.tate.org.uk/art/artists/martin-kippenberger-6711
Kirchner Ernst Ludwig,M,1880–1938,1880,1938,"Aschaffenburg, Deutschland","Frauenkirch, Schweiz",http://www.tate.org.uk/art/artists/ernst-ludwig-kirchner-1414
Kirk Eve,F,1900–1969,1900,1969,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/eve-kirk-1415
Kirkeby Per,M,born 1938,1938,2001,"København, Danmark",Unknown,http://www.tate.org.uk/art/artists/per-kirkeby-2238
Kitadai Shozo,M,1921–2001,1921,2001,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/shozo-kitadai-16033
Kitaj R.B.,M,1932–2007,1932,2007,"Chagrin Falls, United States",Unknown,http://www.tate.org.uk/art/artists/rb-kitaj-1416
Klee Paul,M,1879–1940,1879,1940,"Münchenbuchsee, Schweiz",Unknown,http://www.tate.org.uk/art/artists/paul-klee-1417
Klein Astrid,F,born 1951,1951,1997,"Köln, Deutschland",Unknown,http://www.tate.org.uk/art/artists/astrid-klein-2210
Klein Jochen,M,1967–1997,1967,1997,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/jochen-klein-2764
Klein Yves,M,1928–1962,1928,1962,"Nice, France","Paris, France",http://www.tate.org.uk/art/artists/yves-klein-1418
Kline Franz,M,1910–1962,1910,1962,"Wilkes-Barre, United States","New York, United States",http://www.tate.org.uk/art/artists/franz-kline-1419
Klinghoffer Clara,F,1900–1970,1900,1970,Österreich,Unknown,http://www.tate.org.uk/art/artists/clara-klinghoffer-1420
Klossowski de Rola Balthus,M,1908–2001,1908,2001,"Paris, France",Unknown,http://www.tate.org.uk/art/artists/balthus-balthasar-klossowski-de-rola-689
Klucis Gustav,M,1895–1944,1895,1944,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/gustav-klucis-5677
Kneale Bryan,M,born 1930,1930,1723,Douglas,Unknown,http://www.tate.org.uk/art/artists/bryan-kneale-1422
Kneller Sir Godfrey,M,1646–1723,1646,1723,"Lübeck, Deutschland","London, United Kingdom",http://www.tate.org.uk/art/artists/sir-godfrey-kneller-310
